iter	RMSE
0	5.479682266
1	5.442330188
2	5.421908497
3	5.390049802
4	5.368305388
5	5.329768756
6	5.293934929
7	5.270851577
8	5.240161203
9	5.210518874
10	5.180453325
11	5.148859685
12	5.133136287
13	5.106382888
14	5.077880635
15	5.046169077
16	5.008007688
17	4.99163428
18	4.958306702
19	4.9311154
20	4.90489192
21	4.872826077
22	4.843044156
23	4.823355951
24	4.807800022
25	4.782630926
26	4.753667196
27	4.730714696
28	4.705040764
29	4.684228258
30	4.656181819
31	4.636018404
32	4.612140215
33	4.583694182
34	4.550265393
35	4.534773072
36	4.503937809
37	4.478244936
38	4.453068754
39	4.431046593
40	4.403826078
41	4.393436625
42	4.369315121
43	4.352839896
44	4.339847681
45	4.31491373
46	4.298203961
47	4.272855652
48	4.263541944
49	4.243844237
50	4.218666653
51	4.206498038
52	4.184822274
53	4.168105914
54	4.148100063
55	4.124279028
56	4.104874473
57	4.088176373
58	4.072628528
59	4.053739311
60	4.04640248
61	4.034820346
62	4.015765917
63	3.99481022
64	3.980541383
65	3.96017571
66	3.93622302
67	3.911267325
68	3.887892193
69	3.873690851
70	3.859396027
71	3.833319137
72	3.823147299
73	3.803519827
74	3.797886558
75	3.770626493
76	3.763727294
77	3.758403833
78	3.744240485
79	3.725508785
80	3.704034295
81	3.697654184
82	3.689817169
83	3.676013168
84	3.656003674
85	3.632165063
86	3.615244377
87	3.603549954
88	3.586430726
89	3.575909233
90	3.565702791
91	3.544259744
92	3.531995905
93	3.518088669
94	3.498585095
95	3.488693839
96	3.472781395
97	3.470401658
98	3.457671246
99	3.450246338
100	3.429690532
101	3.416917437
102	3.403781906
103	3.396600383
104	3.384725778
105	3.371309215
106	3.355168141
107	3.342517382
108	3.331970512
109	3.31690296
110	3.306945032
111	3.296062237
112	3.289325959
113	3.278807871
114	3.269645164
115	3.260198957
116	3.245786991
117	3.234006411
118	3.222332472
119	3.207484311
120	3.20023228
121	3.182190123
122	3.174272794
123	3.159008816
124	3.142825624
125	3.139743249
126	3.131679741
127	3.114859053
128	3.106065088
129	3.098158266
130	3.085714023
131	3.069486929
132	3.060777724
133	3.057258076
134	3.049160946
135	3.029452144
136	3.020469115
137	3.008374059
138	2.995358444
139	2.984175946
140	2.974361019
141	2.960418868
142	2.950555297
143	2.943039979
144	2.938724185
145	2.927194705
146	2.91948379
147	2.907779268
148	2.901309933
149	2.891336579
150	2.879598985
151	2.859978621
152	2.845302221
153	2.835414839
154	2.826309351
155	2.813631965
156	2.801515751
157	2.794149396
158	2.783696158
159	2.776033895
160	2.762908279
161	2.756259733
162	2.74533547
163	2.737814787
164	2.725035513
165	2.713989757
166	2.701308856
167	2.682625262
168	2.672322022
169	2.666677793
170	2.656830094
171	2.650443491
172	2.646363299
173	2.635806376
174	2.629871192
175	2.624108863
176	2.609731501
177	2.596066413
178	2.585790665
179	2.57462546
180	2.561592209
181	2.5479052
182	2.537118759
183	2.519211933
184	2.512124553
185	2.494979999
186	2.488648517
187	2.478626962
188	2.469842129
189	2.455730299
190	2.445875632
191	2.438324278
192	2.426326933
193	2.415903414
194	2.406094606
195	2.39731414
196	2.389341471
197	2.376350966
198	2.367346265
199	2.35150477
200	2.339715045
201	2.334376916
202	2.322208786
203	2.306433786
204	2.301801043
205	2.292390494
206	2.28363368
207	2.273688175
208	2.268589245
209	2.257827494
210	2.249453158
211	2.242299482
212	2.232532965
213	2.225282474
214	2.21697818
215	2.207766994
216	2.198662093
217	2.184207942
218	2.179717551
219	2.170553137
220	2.165840527
221	2.157394916
222	2.148734187
223	2.139639037
224	2.130538908
225	2.120231894
226	2.110172526
227	2.101473366
228	2.091460294
229	2.085304111
230	2.073832906
231	2.065970056
232	2.058556248
233	2.053272382
234	2.047237493
235	2.041872135
236	2.0339126
237	2.026494311
238	2.019173085
239	2.012287621
240	2.008221885
241	1.999022742
242	1.993914548
243	1.986086592
244	1.972895841
245	1.964284042
246	1.956732046
247	1.950652757
248	1.942577689
249	1.934855723
250	1.930095425
251	1.922771251
252	1.915415932
253	1.911311116
254	1.905406789
255	1.901665217
256	1.889200186
257	1.881779462
258	1.875644788
259	1.868434837
260	1.858339675
261	1.853865422
262	1.846693366
263	1.840914753
264	1.831027895
265	1.821231594
266	1.817266176
267	1.811685062
268	1.803174789
269	1.795842273
270	1.791021636
271	1.784231958
272	1.776277522
273	1.769796112
274	1.763150833
275	1.759962919
276	1.754437835
277	1.749812388
278	1.746876548
279	1.743795902
280	1.739269919
281	1.732840838
282	1.727528587
283	1.719849243
284	1.713716856
285	1.707446073
286	1.702996973
287	1.697877218
288	1.692421918
289	1.687560767
290	1.680976695
291	1.673411469
292	1.668910341
293	1.661494085
294	1.654081107
295	1.64921775
296	1.644409163
297	1.641709302
298	1.636213014
299	1.628921364
300	1.621806923
301	1.614799572
302	1.610212222
303	1.603354389
304	1.600808346
305	1.593632149
306	1.589830336
307	1.587347025
308	1.581354659
309	1.577620794
310	1.571017476
311	1.565528165
312	1.558501606
313	1.556141368
314	1.550370195
315	1.543991084
316	1.534570054
317	1.528366801
318	1.524872218
319	1.518008398
320	1.515783254
321	1.510637165
322	1.507236676
323	1.501276513
324	1.496293014
325	1.490486361
326	1.485629378
327	1.478838192
328	1.475604756
329	1.47026712
330	1.464671371
331	1.460889296
332	1.455416024
333	1.450027039
334	1.445486883
335	1.441006392
336	1.435813942
337	1.431448209
338	1.426391019
339	1.421411839
340	1.417211998
341	1.412362812
342	1.407588387
343	1.403468012
344	1.398763112
345	1.391776543
346	1.387800143
347	1.383245228
348	1.379184066
349	1.375373256
350	1.368527734
351	1.364107552
352	1.360268745
353	1.356265384
354	1.352310144
355	1.348389723
356	1.344487113
357	1.340672531
358	1.334029513
359	1.330177175
360	1.326358976
361	1.322599354
362	1.31881615
363	1.315097889
364	1.311334439
365	1.307604382
366	1.303900551
367	1.300200011
368	1.296537746
369	1.292862814
370	1.289215493
371	1.28560064
372	1.282019389
373	1.278379456
374	1.272072931
375	1.268536101
376	1.265027863
377	1.261551044
378	1.258104948
379	1.251931117
380	1.248533583
381	1.242433381
382	1.23908457
383	1.23549899
384	1.231881841
385	1.228550297
386	1.225247245
387	1.221974037
388	1.218439621
389	1.215189283
390	1.209273804
391	1.206068986
392	1.200223878
393	1.197065772
394	1.193934734
395	1.190832341
396	1.187758269
397	1.184262821
398	1.181207081
399	1.175513417
400	1.172505733
401	1.169055955
402	1.166070998
403	1.163105471
404	1.160167206
405	1.156613611
406	1.151060327
407	1.147656579
408	1.144283896
409	1.140942037
410	1.137410874
411	1.131967642
412	1.129146405
413	1.126351234
414	1.122989191
415	1.120207106
416	1.11500183
417	1.109841578
418	1.106633344
419	1.101534215
420	1.096479271
421	1.093333217
422	1.08833828
423	1.085775864
424	1.080553128
425	1.075377753
426	1.070249334
427	1.065167468
428	1.062597417
429	1.057575114
430	1.052598519
431	1.047667241
432	1.045161128
433	1.040287866
434	1.036873009
435	1.033948986
436	1.030749592
437	1.026037012
438	1.021274222
439	1.018407388
440	1.013787864
441	1.00911929
442	1.006308664
443	1.001780603
444	0.9990103136
445	0.9945376771
446	0.991807237
447	0.9872954721
448	0.9829117985
449	0.9802353463
450	0.975813484
451	0.9715172485
452	0.9671694314
453	0.9645604104
454	0.9603501148
455	0.9543526728
456	0.9517900116
457	0.9475831808
458	0.9434909072
459	0.9409794426
460	0.9351489439
461	0.9326696552
462	0.9286734077
463	0.9231385049
464	0.920702865
465	0.9152471143
466	0.9128421456
467	0.9103433738
468	0.907958452
469	0.9056777249
470	0.9001485064
471	0.8978137915
472	0.895352553
