iter	Passed	Remaining
0	142	141890
1	142	71311
2	143	47712
3	145	36228
4	146	29098
5	147	24409
6	148	21066
7	151	18824
8	152	16772
9	152	15143
10	153	13813
11	154	12711
12	155	11842
13	156	11038
14	157	10333
15	161	9957
16	162	9410
17	163	8933
18	165	8545
19	166	8135
20	166	7771
21	167	7440
22	168	7173
23	171	6955
24	173	6761
25	174	6526
26	174	6301
27	175	6096
28	176	5902
29	177	5736
30	178	5566
31	178	5399
32	181	5325
33	183	5213
34	184	5078
35	184	4945
36	185	4833
37	186	4717
38	186	4606
39	187	4501
40	190	4447
41	190	4355
42	192	4286
43	194	4222
44	198	4220
45	199	4137
46	200	4057
47	200	3981
48	201	3906
49	201	3837
50	202	3767
51	203	3712
52	204	3649
53	206	3621
54	207	3563
55	210	3556
56	211	3503
57	212	3449
58	213	3397
59	215	3374
60	215	3320
61	216	3273
62	217	3239
63	218	3194
64	218	3147
65	219	3105
66	220	3075
67	221	3038
68	222	3004
69	226	3002
70	226	2966
71	229	2960
72	230	2925
73	233	2920
74	233	2883
75	236	2872
76	236	2837
77	237	2802
78	241	2811
79	241	2779
80	242	2749
81	242	2719
82	243	2691
83	243	2660
84	244	2636
85	245	2610
86	248	2605
87	248	2580
88	253	2596
89	256	2598
90	257	2571
91	259	2561
92	260	2538
93	262	2525
94	262	2503
95	263	2483
96	264	2461
97	264	2436
98	268	2442
99	269	2421
100	270	2404
101	270	2384
102	271	2364
103	272	2344
104	272	2323
105	273	2304
106	274	2291
107	275	2273
108	275	2255
109	276	2237
110	277	2226
111	281	2234
112	282	2217
113	284	2211
114	285	2195
115	286	2182
116	287	2166
117	287	2150
118	290	2147
119	290	2132
120	294	2139
121	295	2125
122	300	2145
123	301	2130
124	302	2115
125	302	2100
126	303	2085
127	304	2071
128	304	2056
129	305	2044
130	306	2030
131	306	2017
132	311	2027
133	311	2015
134	312	2002
135	313	1989
136	316	1993
137	317	1980
138	317	1967
139	318	1956
140	319	1944
141	323	1952
142	323	1940
143	324	1926
144	326	1923
145	326	1910
146	327	1899
147	327	1887
148	328	1875
149	329	1864
150	331	1862
151	331	1850
152	332	1839
153	332	1829
154	335	1830
155	336	1820
156	339	1820
157	339	1810
158	340	1800
159	341	1791
160	341	1781
161	343	1775
162	343	1765
163	348	1774
164	348	1763
165	351	1765
166	352	1757
167	352	1747
168	355	1748
169	356	1739
170	356	1730
171	357	1721
172	358	1711
173	361	1716
174	362	1707
175	362	1698
176	365	1697
177	365	1689
178	366	1680
179	367	1672
180	367	1663
181	369	1659
182	371	1660
183	372	1652
184	373	1645
185	376	1646
186	377	1639
187	379	1640
188	380	1634
189	381	1626
190	382	1618
191	387	1629
192	389	1628
193	390	1622
194	391	1614
195	392	1611
196	393	1603
197	394	1596
198	394	1588
199	395	1582
200	396	1575
201	397	1571
202	399	1566
203	399	1559
204	400	1552
205	400	1545
206	402	1541
207	403	1535
208	403	1528
209	404	1522
210	406	1519
211	407	1512
212	407	1507
213	408	1500
214	409	1493
215	414	1504
216	417	1506
217	418	1500
218	420	1498
219	423	1501
220	424	1494
221	424	1488
222	425	1482
223	426	1478
224	427	1471
225	428	1466
226	428	1460
227	429	1454
228	432	1456
229	433	1450
230	434	1446
231	435	1440
232	437	1440
233	438	1434
234	439	1430
235	440	1424
236	441	1420
237	441	1414
238	442	1409
239	444	1406
240	444	1400
241	445	1395
242	446	1391
243	447	1387
244	448	1381
245	451	1383
246	452	1378
247	455	1380
248	455	1374
249	457	1371
250	457	1365
251	458	1360
252	460	1360
253	461	1355
254	462	1351
255	463	1346
256	463	1341
257	468	1346
258	469	1341
259	469	1336
260	470	1332
261	471	1327
262	473	1325
263	473	1320
264	474	1315
265	475	1310
266	475	1306
267	476	1301
268	480	1305
269	481	1300
270	481	1295
271	483	1292
272	483	1287
273	484	1283
274	484	1278
275	488	1280
276	488	1275
277	491	1276
278	492	1272
279	495	1274
280	496	1269
281	499	1270
282	499	1265
283	502	1266
284	503	1262
285	505	1262
286	506	1258
287	507	1254
288	508	1249
289	508	1245
290	509	1241
291	510	1237
292	510	1232
293	513	1233
294	514	1229
295	514	1224
296	518	1228
297	519	1224
298	520	1219
299	524	1224
300	525	1220
301	527	1218
302	527	1214
303	528	1210
304	529	1205
305	530	1203
